"","name","pval","adj_pval","diff","t_statistic","se","df","avg_abundance","n_approx","n_obs","Gene.names","n_obs_wt","n_obs_C182SC277S"
"1","TLK2",2.6532706742799e-07,3.1325176898217e-05,1.55698647082907,10.2807172037597,0.151447261895277,12,23.9932302221626,16.0000000016582,16,"TLK2",0,0
"2","TP53",1.87922096479554e-05,0.000657379333796068,1.19769482366174,6.80878840379463,0.175904250893484,12,28.1352117734457,16.0000000004384,16,"TP53",0,0
"3","FAM192A",8.6666654075529e-08,1.34006117890478e-05,1.23684843962425,11.385537365224,0.108633295025853,12,21.7596222576541,10.0395696478409,10,"FAM192A",0,2
"4","RPRD1A",1.43977900965986e-05,0.000555049499846423,1.66029895962986,6.99730391055234,0.237276954217471,12,22.3403546594761,11.1364527080791,11,"RPRD1A",0,1
"6","ZNF428",9.22223151178514e-08,1.34006117890478e-05,1.18719337097137,11.3216988294709,0.104860002801086,12,22.662960903155,10.9982184208743,11,"ZNF428",0,1
"7","ARNT",9.31847132790153e-09,2.93376538973433e-06,1.20105337593258,13.891652081866,0.0864586421294287,12,21.5645565627201,11.0022770727754,11,"ARNT",0,2
"8","ANP32B",0.000599776747240988,0.00609128105128078,1.0840152999905,4.61066656580748,0.235110321798048,12,22.0166727504738,7.97869172989024,8,"ANP32B",1,3
"9","RNF34",0.000859168043779945,0.00787848754708892,1.19401044280277,4.40411690383438,0.271112340765347,12,21.2558512929867,4.05994209318495,4,"RNF34",3,4
"10","C18orf25",2.60364135464819e-05,0.000819713086488405,3.69281931033178,6.58237236134192,0.561016470599506,12,22.600746816679,6.8997991615998,7,"C18orf25",0,4
"11","TTC1",0.000172455796043192,0.00275467250421637,1.13752177001131,5.3540978728612,0.212458157662221,12,22.8468829414684,12.1654068605995,12,"TTC1",0,0
"12","CNN2",2.56629126740293e-05,0.000819713086488405,1.1457840295364,6.59230730662386,0.173806222350273,12,22.4735431089647,10.9361221212763,11,"CNN2",0,2
"13","PPP1R2;PPP1R2P3",0.000216937055232513,0.00317669842894742,1.46899950078982,5.2137450428378,0.281755146966345,12,22.774565572863,9.87844697630801,10,"PPP1R2;PPP1R2P3",0,3
"14","UBXN7",9.07672081851274e-06,0.000436904766366364,2.25842858511071,7.33169457869842,0.308036370155458,12,22.6125264428383,12.3146824686277,12,"UBXN7",0,0
"15","RANBP3",6.61498573695241e-07,5.84850350208065e-05,1.47238922744216,9.4447878218146,0.155894367901139,12,23.1741793916404,12.092741694349,12,"RANBP3",0,0
"16","COPS2",0.000270992436746109,0.00355489384037083,1.31555108124484,5.07924404539808,0.259005290843774,12,23.0548459673234,14.9033006729284,15,"COPS2",0,0
"17","ARID3B",4.40180186522809e-07,4.37631774916625e-05,1.24183496514597,9.81053731701826,0.126581748279145,12,23.5860726159117,14.935544570311,15,"ARID3B",0,0
"18","FNBP4",4.24820442468388e-06,0.000265080123741117,1.19646508352758,7.90498725405212,0.151355725831724,12,21.8669619791009,12.087559377682,12,"FNBP4",0,0
"19","PUS7",0.000122136531488959,0.00218260275303751,1.0472139785911,5.56838483493932,0.188064225019122,12,22.3987861108705,8.96242324803443,9,"PUS7",0,3
"20","DCTPP1",3.05790540000572e-07,3.24459582056304e-05,1.27998383021776,10.1470944700075,0.126142890854235,12,22.5060172780065,12.061738902588,12,"DCTPP1",0,0
"21","CTDP1",0.000259010821976213,0.00352461253047255,2.96482699369998,5.10645926009562,0.580603279628332,12,22.225265504306,6.99999571444828,7,"CTDP1",1,4
"22","NCL",0.000177462218130087,0.00275467250421637,1.09845812709393,5.33650173885454,0.205838615041791,12,21.8388155965157,15.0360429250329,15,"NCL",0,0
"23","TP53BP1",6.8113857620844e-07,5.84850350208065e-05,1.56890618826276,9.41893471802115,0.166569387646459,12,22.5765753246253,12.1051426151358,12,"TP53BP1",0,0
"24","HDGFRP2",7.87029974524955e-09,2.93376538973433e-06,1.85339246694906,14.0998056025695,0.131448086533286,12,22.6356881060705,15.0162683102721,15,"HDGFRP2",0,0
"25","RAD18",1.52918723317352e-05,0.000577726936692957,1.04051954232072,6.9543805181388,0.149620737549056,12,22.4028916905829,13.8909525955902,14,"RAD18",0,1
"26","SRCAP",1.00698700782331e-05,0.000463950843360546,1.12058624856007,7.25554403165368,0.154445516927649,12,21.7501944344598,11.0026441088488,11,"SRCAP",1,1
"27","HSPA8",1.98936451756282e-08,4.17545508186241e-06,1.25693422024688,12.9902482023099,0.0967598309648442,12,31.0770088387285,16.000000000002,16,"HSPA8",0,0
"28","PCYT1A",3.74068735173871e-05,0.00102837953206816,1.37043315433914,6.33613249638968,0.216288588523048,12,22.3191875061985,12.0092628835935,12,"PCYT1A",0,2
"29","YWHAE",3.8825300919143e-05,0.00103297173853889,1.5419866265627,6.31115254878092,0.244327262674162,12,26.8852390023472,16.0000000000008,16,"YWHAE",0,0
"30","SAFB",2.77113325044542e-05,0.000858142739359247,1.79633155079784,6.53960847163315,0.274684877327104,12,24.3440677926594,16.0000008519156,16,"SAFB",0,0
"31","GLMN",2.54723977888283e-06,0.000171847712225345,1.00501541461257,8.30843330691923,0.120963288442792,12,25.4234908046103,12.1103019298725,13,"GLMN",0,0
"32","MDM2;MDM2 isoform KB9;mdm2",9.20604228404898e-08,1.34006117890478e-05,1.58496353879288,11.3234999048288,0.139971170761171,12,24.2520663326147,14.9187764812683,15,"MDM2;MDM2 isoform KB9;mdm2",0,0
"33","SMAP;C11orf58",1.35315761689014e-05,0.00053690818110184,1.15650487740837,7.0416877654574,0.164236886940875,12,22.936870807176,12.1024235904138,12,"SMAP;C11orf58",0,0
"34","ELL",2.40709214960333e-05,0.000783965012172533,1.70101304677869,6.63645046692084,0.256313680823406,12,23.4327613704777,12.617136442838,13,"ELL",0,0
"35","SMTN",4.42253287324945e-08,8.35416459756821e-06,1.41350493588793,12.096571779642,0.116851696632496,12,23.8975495185405,14.9101154569881,15,"SMTN",0,1
"36","SLC4A1AP",1.26521113585909e-08,3.41426262233974e-06,1.52996606388619,13.521710924137,0.113148851685264,12,25.0320183547615,16.0000000031261,16,"SLC4A1AP",0,0
"37","YWHAZ",7.46949568863897e-09,2.93376538973433e-06,1.29824428128408,14.1647834656125,0.0916529563925777,12,26.3318192413733,16.0000000000005,16,"YWHAZ",0,0
"38","PSME3",2.24838531348581e-07,2.8314665714498e-05,1.17558370799143,10.4384006472829,0.112621056396934,12,25.042879106414,12.8465480717491,13,"PSME3",0,0
"39","RBM17",9.96476202956842e-05,0.00198141426040576,1.04708791700054,5.69670421245182,0.183805912673475,12,25.2678624368797,16.0000000000019,16,"RBM17",0,0
"40","HTATSF1",1.23112639638379e-07,1.66114125912069e-05,1.21784477806744,11.0288042482122,0.11042400886432,12,26.8470479250618,16.0000000438941,16,"HTATSF1",0,0
"41","DFFA",1.49827750206555e-08,3.53780775175228e-06,1.46812108898168,13.3209606324879,0.11021135258077,12,24.2687616719105,16.0000000018989,16,"DFFA",0,0
"42","NCOR1",5.21142233265159e-05,0.00127849049173751,1.28394372399915,6.11555908298091,0.2099470721446,12,23.2955494920124,14.8746073642583,15,"NCOR1",0,0
"43","RCC2",9.25155672559796e-06,0.000436904766366364,1.06828988584842,7.31766297805413,0.145987850089879,12,25.8443213423966,16.0000000008982,16,"RCC2",0,0
"44","TRIM33",1.64317024227145e-05,0.000596913189932841,1.08221472210969,6.90338032685108,0.156765913345431,12,25.3100135464625,16.0000000000004,16,"TRIM33",0,0
"45","YWHAQ",2.79332112995689e-13,5.27658361448857e-10,2.56079410916628,33.8667332106517,0.0756138507141536,12,27.8286531982748,16.000000001759,16,"YWHAQ",0,0
"46","PPM1G",1.7769812288293e-09,1.67835877062927e-06,1.119401319725,16.0590782443646,0.0697052036668307,12,28.0130229281131,16.0000000000007,16,"PPM1G",0,0
"47","HSPA1B;HSPA1A",6.72459887773869e-09,2.93376538973433e-06,1.04749891988354,14.296194945366,0.0732711692787235,12,31.4295822576417,16.0000000000005,16,"HSPA1B;HSPA1A",0,0
